movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
20726,Little Giants,19300000,20000000,107,19300000,R,"Amblin Entertainment, Warner Bros. Pictures, Warner Bros. Family Entertainment","Comedy, Family",tt0110364,1994,10,14
10806,In & Out,63900000,35000000,90,63900000,R,"Paramount Pictures, Spelling Films, Scott Rudin Productions",Comedy,tt0119360,1997,09,10
2107,L.A. Story,0,0,95,0,R,"L.A. Films, Carolco Pictures, IndieProd Company Productions","Comedy, Fantasy, Romance",tt0102250,1991,02,08
622,The Ninth Gate,58401898,38000000,133,58401898,R,"R.P. Productions, Orly Films, Bac Films, Kino Visión, Origen Producciones Cinematograficas, Vía Digital, Canal+, TF1 Films Production","Mystery, Thriller, Horror",tt0142688,1999,08,25
763148,Time Is Up,0,0,108,0,R,"Lotus Production, RAI, Voltage Pictures","Romance, Drama",tt13438734,2021,09,09
605116,Project Power,0,0,113,0,R,"Screen Arcade, Supermarché","Action, Crime, Science Fiction",tt7550000,2020,08,14
10859,Stakeout,65673233,14500000,116,65673233,R,"Silver Screen Partners II, Touchstone Pictures","Action, Comedy, Romance",tt0094025,1987,08,05
489245,The Kill Team,0,0,87,0,R,"Nostromo Pictures, Temple Hill Entertainment, Marc Graue Recording Studios","War, Action, Drama",tt6196936,2019,10,17
280996,Mr. Holmes,29355203,11000000,104,29355203,R,"FilmNation Entertainment, BBC Film, See-Saw Films, Archer Gray, AI Film, Miramax","Drama, Crime, Family, Mystery",tt3168230,2015,06,19
59678,Attack the Block,3964682,14350531,88,3964682,R,"UK Film Council, Film4 Productions, StudioCanal, Big Talk Studios, Stage 6 Films, Screen Gems","Action, Comedy, Science Fiction",tt1478964,2011,05,12
427641,Rampage,428028233,120000000,107,428028233,R,"Wrigley Pictures, New Line Cinema, 7 Bucks Entertainment, ASAP Entertainment, Flynn Picture Company, Twisted Media","Action, Adventure, Science Fiction",tt2231461,2018,04,11
14462,The Manchurian Candidate,96105964,80000000,129,96105964,R,"Clinica Estetico, Paramount Pictures, Scott Rudin Productions","Drama, Thriller, Mystery",tt0368008,2004,07,30
14254,The Uninvited,41624046,0,87,41624046,R,"DreamWorks Pictures, Cold Spring Pictures, Parkes+MacDonald Image Nation, The Montecito Picture Company, Vertigo Entertainment",Horror,tt0815245,2009,01,30
8922,Jeepers Creepers,59217789,10000000,90,59217789,R,"United Artists, American Zoetrope, Cinerenta Medienbeteiligungs KG, Cinerenta-Cinebeta, VCL Communications","Horror, Thriller, Mystery, Drama",tt0263488,2001,07,01
6947,The Village,256700000,60000000,108,256700000,R,"Touchstone Pictures, Blinding Edge Pictures, Scott Rudin Productions","Drama, Mystery, Thriller",tt0368447,2004,07,30
117251,White House Down,205366737,150000000,131,205366737,R,"Iron Horse Entertainment, Columbia Pictures, Mythology Entertainment, Centropolis Entertainment","Action, Drama, Thriller",tt2334879,2013,06,27
10760,Sydney White,13620075,16500000,108,13620075,R,"Morgan Creek Entertainment, Universal Pictures",Comedy,tt0815244,2007,09,21
1281,Bean,251212670,18000000,89,251212670,R,"Working Title Films, Tiger Aspect","Family, Adventure, Comedy",tt0118689,1997,07,03
