IMDb_code,movie_code,year_review,month_review,day_review,rating_of_movie,ave_review_len,review_count,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating
tt2866360,220289,2022,12,18,9.0,169.0,1,Coherence,139745,50000,89,139745,R
tt2869728,323675,2016,05,04,7.0,264.0,1,Ride Along 2,124827316,40000000,102,124827316,R
tt2869728,323675,2021,03,18,6.0,114.0,1,Ride Along 2,124827316,40000000,102,124827316,R
tt2870612,256274,2016,06,09,10.0,98.0,1,"As Above, So Below",41900000,5000000,93,41900000,R
tt2870612,256274,2020,10,03,8.0,157.0,1,"As Above, So Below",41900000,5000000,93,41900000,R
tt2870612,256274,2022,12,08,7.0,198.0,1,"As Above, So Below",41900000,5000000,93,41900000,R
tt2870708,231576,2020,10,03,7.0,119.0,1,Wish I Was Here,5483299,5500000,107,5483299,R
tt2872462,309245,2016,02,23,6.0,96.0,1,Mistress America,2500431,0,84,2500431,R
tt2872462,309245,2016,04,04,8.0,552.0,1,Mistress America,2500431,0,84,2500431,R
tt2872462,309245,2022,06,20,9.0,84.0,1,Mistress America,2500431,0,84,2500431,R
tt2872518,345938,2017,05,31,10.0,33.0,1,The Shack,96900000,20000000,132,96900000,R
tt2872518,345938,2017,10,09,3.0,315.0,1,The Shack,96900000,20000000,132,96900000,R
tt2872518,345938,2023,11,24,4.0,284.0,1,The Shack,96900000,20000000,132,96900000,R
tt2872718,242582,2017,03,09,8.0,138.0,1,Nightcrawler,50300000,8500000,118,50300000,R
tt2872718,242582,2019,01,19,9.0,383.0,2,Nightcrawler,50300000,8500000,118,50300000,R
tt2872718,242582,2022,07,12,10.0,427.0,1,Nightcrawler,50300000,8500000,118,50300000,R
tt2872732,240832,2014,07,31,0.5,77.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872732,240832,2014,09,17,3.0,49.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872732,240832,2015,11,07,7.0,317.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872732,240832,2018,05,11,8.0,420.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872732,240832,2020,07,29,9.0,905.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872732,240832,2023,06,01,8.0,126.0,1,Lucy,458863600,40000000,89,458863600,R
tt2872750,263109,2015,09,24,8.5,511.0,1,Shaun the Sheep Movie,106209378,25000000,85,106209378,R
tt2872750,263109,2016,04,01,4.5,204.0,1,Shaun the Sheep Movie,106209378,25000000,85,106209378,R
tt2872750,263109,2017,03,09,6.0,194.0,1,Shaun the Sheep Movie,106209378,25000000,85,106209378,R
tt2872750,263109,2022,04,12,7.0,71.0,1,Shaun the Sheep Movie,106209378,25000000,85,106209378,R
tt2872750,263109,2024,02,08,7.0,329.0,1,Shaun the Sheep Movie,106209378,25000000,85,106209378,R
tt2873282,401981,2018,03,18,9.0,138.0,1,Red Sparrow,151572634,69000000,140,151572634,R
tt2873282,401981,2018,05,14,7.0,44.0,1,Red Sparrow,151572634,69000000,140,151572634,R
tt2873282,401981,2019,01,20,4.0,37.0,1,Red Sparrow,151572634,69000000,140,151572634,R
tt2873282,401981,2023,01,02,5.0,245.0,1,Red Sparrow,151572634,69000000,140,151572634,R
tt2883434,253331,2015,10,14,8.0,414.0,1,Black or White,21571189,9000000,121,21571189,R
tt2884018,225728,2016,10,17,6.0,78.0,1,Macbeth,16322067,15000000,113,16322067,R
tt2884018,225728,2022,04,13,6.0,265.0,1,Macbeth,16322067,15000000,113,16322067,R
tt2888046,365222,2016,03,24,8.0,555.0,1,Ip Man 3,157000000,36000000,105,157000000,R
tt2891174,283235,2016,03,23,10.0,24.0,1,99 Homes,1411927,8000000,112,1411927,R
tt2891174,283235,2016,04,24,8.0,174.0,1,99 Homes,1411927,8000000,112,1411927,R
tt2891174,283235,2023,10,21,6.0,207.0,1,99 Homes,1411927,8000000,112,1411927,R
tt2900624,231001,2017,02,06,4.0,27.0,1,All Hallows' Eve,0,0,82,0,R
tt2906216,493529,2023,03,31,7.0,102.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,04,03,7.0,423.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,04,19,8.0,209.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,04,23,8.0,468.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,05,16,8.0,308.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,05,22,6.0,279.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2023,06,20,7.0,56.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2906216,493529,2024,01,09,9.0,259.0,1,Dungeons & Dragons: Honor Among Thieves,208200000,151000000,134,208200000,R
tt2908446,262500,2016,04,09,4.0,118.0,1,Insurgent,297002527,110000000,119,297002527,R
tt2908446,262500,2016,07,14,6.0,236.0,1,Insurgent,297002527,110000000,119,297002527,R
tt2908446,262500,2023,06,26,6.0,24.0,1,Insurgent,297002527,110000000,119,297002527,R
tt2909116,309302,2016,07,24,6.0,641.0,1,Wolf Totem,123205624,38000000,116,123205624,R
tt2910904,298382,2016,05,04,8.0,204.0,1,The Dressmaker,25003426,11930000,118,25003426,R
tt2910904,298382,2022,03,22,10.0,131.0,1,The Dressmaker,25003426,11930000,118,25003426,R
tt2911666,245891,2015,06,25,9.0,589.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2015,08,10,6.0,39.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2016,04,05,7.0,151.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2017,05,04,8.0,233.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2019,09,21,7.0,344.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2022,08,20,10.0,160.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2023,01,11,10.0,255.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2023,02,01,8.0,244.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2023,02,17,8.0,148.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2023,05,09,10.0,55.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911666,245891,2023,07,06,8.0,21.0,1,John Wick,88761661,20000000,101,88761661,R
tt2911668,284289,2016,06,04,6.0,258.0,1,Beyond the Reach,45895,0,95,45895,R
tt2918436,243940,2017,08,05,7.0,70.0,1,The Lazarus Effect,64110728,3300000,83,64110728,R
tt2918436,243940,2017,11,04,6.0,237.0,1,The Lazarus Effect,64110728,3300000,83,64110728,R
tt2918436,243940,2022,10,21,5.0,221.0,1,The Lazarus Effect,64110728,3300000,83,64110728,R
tt2932536,403119,2017,06,21,4.0,1120.0,1,47 Meters Down,62198461,5500000,89,62198461,R
tt2932536,403119,2017,09,19,4.0,48.0,1,47 Meters Down,62198461,5500000,89,62198461,R
tt2932536,403119,2018,02,04,6.0,268.0,1,47 Meters Down,62198461,5500000,89,62198461,R
tt2932536,403119,2020,10,10,6.0,82.0,1,47 Meters Down,62198461,5500000,89,62198461,R
tt2935476,250734,2016,10,04,8.0,250.0,1,Far from the Madding Crowd,30300000,14500000,119,30300000,R
tt2935476,250734,2022,06,01,7.0,221.0,1,Far from the Madding Crowd,30300000,14500000,119,30300000,R
tt2935510,419704,2019,09,16,8.0,71.0,1,Ad Astra,127461872,87500000,123,127461872,R
